LineId,Level,Component,PID,Content,EventId,EventTemplate,Datetime
43,combo,sshd(pam_unix),23661.0,check pass; user unknown,E27,check pass; user unknown,2024-06-15 14:53:32
44,combo,sshd(pam_unix),23661.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=061092085098.ctinets.com,E16,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>,2024-06-15 14:53:32
45,combo,sshd(pam_unix),23663.0,check pass; user unknown,E27,check pass; user unknown,2024-06-15 14:53:32
46,combo,sshd(pam_unix),23663.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=061092085098.ctinets.com,E16,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>,2024-06-15 14:53:32
47,combo,sshd(pam_unix),23664.0,check pass; user unknown,E27,check pass; user unknown,2024-06-15 14:53:32
48,combo,sshd(pam_unix),23664.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=061092085098.ctinets.com,E16,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>,2024-06-15 14:53:32
49,combo,sshd(pam_unix),23665.0,check pass; user unknown,E27,check pass; user unknown,2024-06-15 14:53:33
50,combo,sshd(pam_unix),23665.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=061092085098.ctinets.com,E16,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>,2024-06-15 14:53:33
51,combo,sshd(pam_unix),23669.0,check pass; user unknown,E27,check pass; user unknown,2024-06-15 14:53:34
52,combo,sshd(pam_unix),23669.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=061092085098.ctinets.com,E16,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>,2024-06-15 14:53:34
53,combo,sshd(pam_unix),23671.0,check pass; user unknown,E27,check pass; user unknown,2024-06-15 14:53:35
54,combo,sshd(pam_unix),23671.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=061092085098.ctinets.com,E16,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>,2024-06-15 14:53:35
55,combo,sshd(pam_unix),23673.0,check pass; user unknown,E27,check pass; user unknown,2024-06-15 14:53:35
56,combo,sshd(pam_unix),23673.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=061092085098.ctinets.com,E16,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>,2024-06-15 14:53:35
57,combo,sshd(pam_unix),23674.0,check pass; user unknown,E27,check pass; user unknown,2024-06-15 14:53:35
58,combo,sshd(pam_unix),23674.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=061092085098.ctinets.com,E16,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>,2024-06-15 14:53:35
59,combo,sshd(pam_unix),23678.0,check pass; user unknown,E27,check pass; user unknown,2024-06-15 14:53:36
60,combo,sshd(pam_unix),23678.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=061092085098.ctinets.com,E16,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>,2024-06-15 14:53:36
61,combo,sshd(pam_unix),23677.0,check pass; user unknown,E27,check pass; user unknown,2024-06-15 14:53:36
62,combo,sshd(pam_unix),23677.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=061092085098.ctinets.com,E16,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>,2024-06-15 14:53:36
63,combo,sshd(pam_unix),24138.0,check pass; user unknown,E27,check pass; user unknown,2024-06-15 20:05:31
64,combo,sshd(pam_unix),24138.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=d211-116-254-214.rev.krline.net,E16,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>,2024-06-15 20:05:31
65,combo,sshd(pam_unix),24137.0,check pass; user unknown,E27,check pass; user unknown,2024-06-15 20:05:31
66,combo,sshd(pam_unix),24137.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=d211-116-254-214.rev.krline.net,E16,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>,2024-06-15 20:05:31
67,combo,sshd(pam_unix),24141.0,check pass; user unknown,E27,check pass; user unknown,2024-06-15 20:05:31
68,combo,sshd(pam_unix),24141.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=d211-116-254-214.rev.krline.net,E16,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>,2024-06-15 20:05:31
69,combo,sshd(pam_unix),24140.0,check pass; user unknown,E27,check pass; user unknown,2024-06-15 20:05:31
70,combo,sshd(pam_unix),24140.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=d211-116-254-214.rev.krline.net,E16,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>,2024-06-15 20:05:31
71,combo,sshd(pam_unix),24139.0,check pass; user unknown,E27,check pass; user unknown,2024-06-15 20:05:31
72,combo,sshd(pam_unix),24139.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=d211-116-254-214.rev.krline.net,E16,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>,2024-06-15 20:05:31
73,combo,su(pam_unix),25178.0,session opened for user cyrus by (uid=0),E102,session opened for user <*> by (uid=<*>),2024-06-16 04:10:22
74,combo,su(pam_unix),25178.0,session closed for user cyrus,E101,session closed for user <*>,2024-06-16 04:10:23
75,combo,logrotate,,ALERT exited abnormally with [1],E8,ALERT exited abnormally with [1],2024-06-16 04:10:24
76,combo,su(pam_unix),25548.0,session opened for user news by (uid=0),E102,session opened for user <*> by (uid=<*>),2024-06-16 04:16:17
77,combo,su(pam_unix),25548.0,session closed for user news,E101,session closed for user <*>,2024-06-16 04:16:18
78,combo,su(pam_unix),27953.0,session opened for user cyrus by (uid=0),E102,session opened for user <*> by (uid=<*>),2024-06-17 04:03:33
79,combo,su(pam_unix),27953.0,session closed for user cyrus,E101,session closed for user <*>,2024-06-17 04:03:34
80,combo,logrotate,,ALERT exited abnormally with [1],E8,ALERT exited abnormally with [1],2024-06-17 04:03:36
81,combo,su(pam_unix),29190.0,session opened for user news by (uid=0),E102,session opened for user <*> by (uid=<*>),2024-06-17 04:09:43
82,combo,su(pam_unix),29190.0,session closed for user news,E101,session closed for user <*>,2024-06-17 04:09:45
83,combo,ftpd,29504.0,connection from 24.54.76.216 (24-54-76-216.bflony.adelphia.net) at Fri Jun 17 07:07:00 2005,E29,connection from <*> (<*>) at <*>:<*>:<*>,2024-06-17 07:07:00
84,combo,ftpd,29508.0,connection from 24.54.76.216 (24-54-76-216.bflony.adelphia.net) at Fri Jun 17 07:07:00 2005,E29,connection from <*> (<*>) at <*>:<*>:<*>,2024-06-17 07:07:00
85,combo,ftpd,29507.0,connection from 24.54.76.216 (24-54-76-216.bflony.adelphia.net) at Fri Jun 17 07:07:00 2005,E29,connection from <*> (<*>) at <*>:<*>:<*>,2024-06-17 07:07:00
86,combo,ftpd,29505.0,connection from 24.54.76.216 (24-54-76-216.bflony.adelphia.net) at Fri Jun 17 07:07:00 2005,E29,connection from <*> (<*>) at <*>:<*>:<*>,2024-06-17 07:07:00
87,combo,ftpd,29506.0,connection from 24.54.76.216 (24-54-76-216.bflony.adelphia.net) at Fri Jun 17 07:07:00 2005,E29,connection from <*> (<*>) at <*>:<*>:<*>,2024-06-17 07:07:00
88,combo,ftpd,29509.0,connection from 24.54.76.216 (24-54-76-216.bflony.adelphia.net) at Fri Jun 17 07:07:00 2005,E29,connection from <*> (<*>) at <*>:<*>:<*>,2024-06-17 07:07:00
89,combo,ftpd,29510.0,connection from 24.54.76.216 (24-54-76-216.bflony.adelphia.net) at Fri Jun 17 07:07:02 2005,E29,connection from <*> (<*>) at <*>:<*>:<*>,2024-06-17 07:07:02
90,combo,ftpd,29511.0,connection from 24.54.76.216 (24-54-76-216.bflony.adelphia.net) at Fri Jun 17 07:07:04 2005,E29,connection from <*> (<*>) at <*>:<*>:<*>,2024-06-17 07:07:04
91,combo,sshd(pam_unix),30565.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=211.46.224.253  user=guest,E17,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>  user=guest,2024-06-17 19:43:13
92,combo,sshd(pam_unix),30631.0,session opened for user test by (uid=509),E102,session opened for user <*> by (uid=<*>),2024-06-17 20:29:26
93,combo,sshd(pam_unix),30631.0,session closed for user test,E101,session closed for user <*>,2024-06-17 20:34:57
94,combo,ftpd,30755.0,connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Fri Jun 17 20:55:06 2005,E29,connection from <*> (<*>) at <*>:<*>:<*>,2024-06-17 20:55:06
95,combo,ftpd,30754.0,connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Fri Jun 17 20:55:06 2005,E29,connection from <*> (<*>) at <*>:<*>:<*>,2024-06-17 20:55:06
96,combo,ftpd,30753.0,connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Fri Jun 17 20:55:06 2005,E29,connection from <*> (<*>) at <*>:<*>:<*>,2024-06-17 20:55:06
97,combo,ftpd,30756.0,connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Fri Jun 17 20:55:06 2005,E29,connection from <*> (<*>) at <*>:<*>:<*>,2024-06-17 20:55:06
98,combo,ftpd,30757.0,connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Fri Jun 17 20:55:06 2005,E29,connection from <*> (<*>) at <*>:<*>:<*>,2024-06-17 20:55:06
99,combo,ftpd,30758.0,connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Fri Jun 17 20:55:07 2005,E29,connection from <*> (<*>) at <*>:<*>:<*>,2024-06-17 20:55:07
100,combo,ftpd,30759.0,connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Fri Jun 17 20:55:07 2005,E29,connection from <*> (<*>) at <*>:<*>:<*>,2024-06-17 20:55:07
101,combo,sshd(pam_unix),31201.0,check pass; user unknown,E27,check pass; user unknown,2024-06-18 01:30:59
102,combo,sshd(pam_unix),31201.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=adsl-70-242-75-179.dsl.ksc2mo.swbell.net,E16,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>,2024-06-18 01:30:59
103,combo,sshd(pam_unix),31199.0,check pass; user unknown,E27,check pass; user unknown,2024-06-18 01:30:59
104,combo,sshd(pam_unix),31199.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=adsl-70-242-75-179.dsl.ksc2mo.swbell.net,E16,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>,2024-06-18 01:30:59
105,combo,sshd(pam_unix),31198.0,check pass; user unknown,E27,check pass; user unknown,2024-06-18 01:30:59
106,combo,sshd(pam_unix),31198.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=adsl-70-242-75-179.dsl.ksc2mo.swbell.net,E16,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>,2024-06-18 01:30:59
107,combo,sshd(pam_unix),31202.0,check pass; user unknown,E27,check pass; user unknown,2024-06-18 01:30:59
108,combo,sshd(pam_unix),31202.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=adsl-70-242-75-179.dsl.ksc2mo.swbell.net,E16,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>,2024-06-18 01:30:59
109,combo,sshd(pam_unix),31205.0,check pass; user unknown,E27,check pass; user unknown,2024-06-18 01:30:59
110,combo,sshd(pam_unix),31205.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=adsl-70-242-75-179.dsl.ksc2mo.swbell.net,E16,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>,2024-06-18 01:30:59
111,combo,sshd(pam_unix),31200.0,check pass; user unknown,E27,check pass; user unknown,2024-06-18 01:30:59
112,combo,sshd(pam_unix),31200.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=adsl-70-242-75-179.dsl.ksc2mo.swbell.net,E16,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>,2024-06-18 01:30:59
113,combo,sshd(pam_unix),31206.0,check pass; user unknown,E27,check pass; user unknown,2024-06-18 01:30:59
114,combo,sshd(pam_unix),31206.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=adsl-70-242-75-179.dsl.ksc2mo.swbell.net,E16,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>,2024-06-18 01:30:59
115,combo,sshd(pam_unix),31204.0,check pass; user unknown,E27,check pass; user unknown,2024-06-18 01:30:59
116,combo,sshd(pam_unix),31204.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=adsl-70-242-75-179.dsl.ksc2mo.swbell.net,E16,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>,2024-06-18 01:30:59
117,combo,sshd(pam_unix),31203.0,check pass; user unknown,E27,check pass; user unknown,2024-06-18 01:30:59
118,combo,sshd(pam_unix),31203.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=adsl-70-242-75-179.dsl.ksc2mo.swbell.net,E16,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>,2024-06-18 01:30:59
119,combo,sshd(pam_unix),31207.0,check pass; user unknown,E27,check pass; user unknown,2024-06-18 01:30:59
120,combo,sshd(pam_unix),31207.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=adsl-70-242-75-179.dsl.ksc2mo.swbell.net,E16,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>,2024-06-18 01:30:59
121,combo,ftpd,31272.0,connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Jun 18 02:08:10 2005,E29,connection from <*> (<*>) at <*>:<*>:<*>,2024-06-18 02:08:10
122,combo,ftpd,31273.0,connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Jun 18 02:08:10 2005,E29,connection from <*> (<*>) at <*>:<*>:<*>,2024-06-18 02:08:10
123,combo,ftpd,31274.0,connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Jun 18 02:08:10 2005,E29,connection from <*> (<*>) at <*>:<*>:<*>,2024-06-18 02:08:10
124,combo,ftpd,31275.0,connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Jun 18 02:08:10 2005,E29,connection from <*> (<*>) at <*>:<*>:<*>,2024-06-18 02:08:10
125,combo,ftpd,31276.0,connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Jun 18 02:08:10 2005,E29,connection from <*> (<*>) at <*>:<*>:<*>,2024-06-18 02:08:10
126,combo,ftpd,31277.0,connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Jun 18 02:08:10 2005,E29,connection from <*> (<*>) at <*>:<*>:<*>,2024-06-18 02:08:10
127,combo,ftpd,31278.0,connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Jun 18 02:08:10 2005,E29,connection from <*> (<*>) at <*>:<*>:<*>,2024-06-18 02:08:10
128,combo,ftpd,31279.0,connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Jun 18 02:08:11 2005,E29,connection from <*> (<*>) at <*>:<*>:<*>,2024-06-18 02:08:11
129,combo,ftpd,31280.0,connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Jun 18 02:08:11 2005,E29,connection from <*> (<*>) at <*>:<*>:<*>,2024-06-18 02:08:11
130,combo,ftpd,31281.0,connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Jun 18 02:08:11 2005,E29,connection from <*> (<*>) at <*>:<*>:<*>,2024-06-18 02:08:11
131,combo,ftpd,31282.0,connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Jun 18 02:08:11 2005,E29,connection from <*> (<*>) at <*>:<*>:<*>,2024-06-18 02:08:11
132,combo,ftpd,31283.0,connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Jun 18 02:08:11 2005,E29,connection from <*> (<*>) at <*>:<*>:<*>,2024-06-18 02:08:11
133,combo,ftpd,31284.0,connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Jun 18 02:08:12 2005,E29,connection from <*> (<*>) at <*>:<*>:<*>,2024-06-18 02:08:12
134,combo,ftpd,31285.0,connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Jun 18 02:08:12 2005,E29,connection from <*> (<*>) at <*>:<*>:<*>,2024-06-18 02:08:12
135,combo,ftpd,31286.0,connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Jun 18 02:08:12 2005,E29,connection from <*> (<*>) at <*>:<*>:<*>,2024-06-18 02:08:12
136,combo,ftpd,31277.0,User unknown timed out after 900 seconds at Sat Jun 18 02:23:10 2005,E112,User unknown timed out after <*> seconds at <*>:<*>:<*> <*>,2024-06-18 02:23:10
137,combo,su(pam_unix),31791.0,session opened for user cyrus by (uid=0),E102,session opened for user <*> by (uid=<*>),2024-06-18 04:07:05
138,combo,su(pam_unix),31791.0,session closed for user cyrus,E101,session closed for user <*>,2024-06-18 04:07:06
139,combo,logrotate,,ALERT exited abnormally with [1],E8,ALERT exited abnormally with [1],2024-06-18 04:07:06
140,combo,su(pam_unix),32164.0,session opened for user news by (uid=0),E102,session opened for user <*> by (uid=<*>),2024-06-18 04:12:42
141,combo,su(pam_unix),32164.0,session closed for user news,E101,session closed for user <*>,2024-06-18 04:12:43
142,combo,su(pam_unix),2192.0,session opened for user cyrus by (uid=0),E102,session opened for user <*> by (uid=<*>),2024-06-19 04:08:55
143,combo,su(pam_unix),2192.0,session closed for user cyrus,E101,session closed for user <*>,2024-06-19 04:08:55
144,combo,cups,,cupsd shutdown succeeded,E37,cupsd shutdown succeeded,2024-06-19 04:08:57
145,combo,cups,,cupsd startup succeeded,E38,cupsd startup succeeded,2024-06-19 04:09:02
146,combo,syslogd 1.4.1,,restart.,E90,restart.,2024-06-19 04:09:11
147,combo,logrotate,,ALERT exited abnormally with [1],E8,ALERT exited abnormally with [1],2024-06-19 04:09:11
148,combo,su(pam_unix),3676.0,session opened for user news by (uid=0),E102,session opened for user <*> by (uid=<*>),2024-06-19 04:15:18
149,combo,su(pam_unix),3676.0,session closed for user news,E101,session closed for user <*>,2024-06-19 04:15:18
150,combo,ftpd,8829.0,connection from 222.33.90.199 () at Mon Jun 20 03:40:59 2005,E29,connection from <*> (<*>) at <*>:<*>:<*>,2024-06-20 03:40:59
